City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,jwaneng,-24.6004,24.7303,21.22,9,0,3.4,BW,1721046202
346,brookings,44.3114,-96.7984,21.77,95,40,3.6,US,1721046203
347,kill devil hills,36.0307,-75.676,28.32,91,0,4.12,US,1721046204
348,san pedro pochutla,15.7333,-96.4667,25.4,63,22,1.7,MX,1721046204
349,san carlos de bariloche,-41.1456,-71.3082,-3.14,93,100,0.51,AR,1721046205
350,choyr,46.3611,108.3611,13.48,77,100,6.18,MN,1721046206
351,ondjiva,-17.0667,15.7333,30.42,6,4,2.27,AO,1721046206
352,camayenne,9.535,-13.6878,27.05,89,75,3.09,GN,1721046207
353,newton,42.337,-71.2092,25.92,83,100,4.12,US,1721046208
354,recani,31.2846,-4.2688,43.43,6,27,6.62,MA,1721046209
355,lata,40.1629,-8.3327,22.82,39,5,4.14,PT,1721046209
356,jumla,29.2747,82.1838,21.63,74,55,2.17,NP,1721046210
357,nahiyat ash shinafiyah,31.5874,44.6602,43.85,13,0,5.53,IQ,1721046211
358,gerash,27.6652,54.1371,43.08,10,1,4.86,IR,1721046212
359,dampit,-8.2116,112.7493,19.34,90,28,2.02,ID,1721046212
360,tutoia,-2.7619,-42.2744,27.29,62,2,2.23,BR,1721046213
361,tura,25.5198,90.2201,26.83,92,100,1.47,IN,1721046214
